learner_record_id,region,department,role_family,experience_band,training_mode,prior_python_score,course_minutes,manager_support_score,support_tickets_last_30d,engagement_score,completion_days,assessment_score,satisfaction_score,productivity_gain_estimate_pct,completed_training
EDA-0637,North West,Sales,Developer,6-10 years,Blended,69.9,493.0,3,0,89.0,17.0,89.0,5.0,11.7,1
EDA-0638,North West,Product,Advisor,6-10 years,Blended,48.0,471.0,4,0,72.5,15.0,78.7,5.0,8.8,0
EDA-0639,Wales,Customer Support,Advisor,10+ years,Self-paced,79.4,251.0,1,4,70.4,27.0,77.8,4.2,12.4,1
EDA-0640,Yorkshire,HR,Manager,0-2 years,Self-paced,34.2,214.0,2,0,76.2,23.0,80.5,4.8,9.5,1
EDA-0641,Yorkshire,Finance,Advisor,0-2 years,Blended,76.4,519.0,3,0,88.0,21.0,95.6,3.9,12.3,1
EDA-0642,Yorkshire,Operations,Analyst,10+ years,Blended,30.1,409.0,3,3,77.9,27.0,75.1,4.7,14.3,1
EDA-0643,Yorkshire,Product,Coordinator,6-10 years,Blended,66.9,464.0,3,0,67.8,20.0,99.4,4.8,12.9,1
EDA-0644,Wales,IT,Coordinator,10+ years,Blended,22.4,375.0,3,0,79.8,22.0,70.5,4.7,10.6,1
EDA-0645,West Midlands,Customer Support,Administrator,3-5 years,Self-paced,58.5,319.0,3,1,92.7,17.0,78.7,5.0,11.5,1
EDA-0646,North West,Customer Support,Coordinator,3-5 years,Instructor-led,31.8,378.0,2,1,66.0,17.0,85.1,3.5,4.7,0
EDA-0647,Yorkshire,Customer Support,Analyst,10+ years,Blended,60.8,415.0,1,2,54.8,16.0,63.3,4.9,6.9,0
EDA-0648,West Midlands,Finance,Coordinator,6-10 years,Instructor-led,66.9,438.0,2,2,82.1,26.0,76.3,4.9,11.6,1
EDA-0649,South East,Finance,Developer,3-5 years,Self-paced,66.8,427.0,3,2,73.7,19.0,86.8,4.1,8.8,1
EDA-0650,South East,Customer Support,Administrator,0-2 years,Self-paced,49.9,276.0,2,2,70.1,16.0,96.0,4.5,11.7,1
EDA-0651,Wales,IT,Advisor,6-10 years,Self-paced,38.1,311.0,4,0,77.5,21.0,85.6,5.0,4.8,1
EDA-0652,South East,Operations,Administrator,3-5 years,Instructor-led,59.3,355.0,5,0,76.5,10.0,86.2,4.9,15.0,1
EDA-0653,North West,Finance,Administrator,0-2 years,Blended,64.1,524.0,4,1,70.0,13.0,80.3,5.0,9.9,0
EDA-0654,West Midlands,Product,Manager,3-5 years,Blended,51.2,405.0,4,1,95.9,15.0,75.3,5.0,14.9,1
EDA-0655,Wales,Finance,Developer,3-5 years,Instructor-led,28.6,405.0,5,1,92.5,10.0,79.1,4.4,12.1,1
EDA-0656,North West,Sales,Developer,6-10 years,Blended,62.4,490.0,4,0,87.7,14.0,91.2,5.0,14.8,1
EDA-0657,London,IT,Administrator,3-5 years,Instructor-led,70.1,343.0,3,1,78.0,12.0,100.0,5.0,8.2,1
EDA-0658,Wales,Sales,Manager,6-10 years,Blended,45.1,392.0,3,1,91.5,17.0,76.6,5.0,12.2,1
EDA-0659,Yorkshire,IT,Analyst,3-5 years,Blended,45.7,455.0,3,1,64.5,29.0,75.3,3.5,11.6,1
EDA-0660,London,HR,Developer,0-2 years,Blended,35.9,419.0,2,1,64.5,33.0,66.9,4.4,7.6,1
EDA-0661,Scotland,HR,Analyst,3-5 years,Instructor-led,89.9,518.0,2,0,59.2,4.0,86.4,5.0,6.4,0
EDA-0662,South East,Sales,Analyst,0-2 years,Instructor-led,26.7,243.0,5,1,79.9,6.0,90.7,5.0,13.3,1
EDA-0663,London,Operations,Administrator,0-2 years,Self-paced,73.1,347.0,3,2,79.2,16.0,90.3,5.0,15.6,1
EDA-0664,Yorkshire,Operations,Analyst,0-2 years,Self-paced,62.1,332.0,3,0,73.6,26.0,72.9,5.0,11.8,1
EDA-0665,Yorkshire,Customer Support,Manager,3-5 years,Self-paced,69.9,224.0,1,0,68.3,27.0,88.8,4.5,11.6,1
EDA-0666,Yorkshire,Finance,Advisor,3-5 years,Instructor-led,82.2,328.0,2,0,57.0,23.0,69.3,4.2,6.8,0
EDA-0667,London,Customer Support,Administrator,6-10 years,Self-paced,62.0,251.0,5,2,91.3,16.0,98.2,5.0,12.1,1
EDA-0668,Wales,Sales,Advisor,3-5 years,Blended,53.3,460.0,4,1,81.4,22.0,74.5,5.0,7.2,0
EDA-0669,Wales,Sales,Developer,3-5 years,Blended,68.7,418.0,2,0,68.0,26.0,84.8,3.8,11.2,1
EDA-0670,South East,HR,Manager,0-2 years,Self-paced,82.4,367.0,4,1,91.6,18.0,100.0,5.0,12.5,1
EDA-0671,South East,IT,Administrator,3-5 years,Self-paced,65.9,319.0,4,1,80.0,9.0,84.0,5.0,14.7,1
EDA-0672,North West,Product,Advisor,10+ years,Self-paced,36.5,189.0,2,0,50.6,5.0,80.3,4.3,9.4,1
EDA-0673,West Midlands,Sales,Manager,0-2 years,Blended,83.4,425.0,2,0,75.3,18.0,89.6,4.8,11.8,1
EDA-0674,West Midlands,IT,Manager,6-10 years,Instructor-led,60.3,376.0,2,0,69.8,33.0,94.4,3.6,10.3,1
EDA-0675,Wales,Operations,Advisor,0-2 years,Blended,68.8,484.0,1,0,72.9,29.0,76.9,4.1,14.3,1
EDA-0676,North West,Product,Developer,10+ years,Self-paced,42.0,391.0,4,2,77.1,31.0,75.5,5.0,11.9,1
EDA-0677,Yorkshire,HR,Coordinator,3-5 years,Blended,60.9,482.0,3,4,70.8,28.0,66.6,4.0,9.5,1
EDA-0678,Scotland,Sales,Developer,3-5 years,Instructor-led,59.7,456.0,4,2,76.9,13.0,92.9,5.0,9.9,1
EDA-0679,Wales,IT,Administrator,6-10 years,Self-paced,72.6,275.0,3,2,88.1,16.0,80.5,4.9,13.4,1
EDA-0680,Wales,Finance,Advisor,3-5 years,Self-paced,58.0,342.0,2,4,59.9,29.0,81.3,3.6,12.8,1
EDA-0681,London,IT,Coordinator,3-5 years,Instructor-led,77.7,308.0,1,4,52.9,36.0,87.4,3.7,13.7,1
EDA-0682,Wales,IT,Analyst,0-2 years,Blended,62.3,517.0,5,0,100.0,22.0,81.4,5.0,15.5,1
EDA-0683,South East,Sales,Analyst,0-2 years,Self-paced,50.0,271.0,3,1,71.2,20.0,79.5,4.0,10.6,1
EDA-0684,Scotland,Product,Manager,6-10 years,Blended,52.0,353.0,3,3,76.7,22.0,70.6,4.7,9.1,0
EDA-0685,South East,IT,Developer,0-2 years,Self-paced,28.8,301.0,4,1,77.8,29.0,84.9,4.6,16.1,1
EDA-0686,Yorkshire,Sales,Advisor,0-2 years,Instructor-led,57.1,353.0,2,1,86.3,16.0,78.2,4.4,13.3,1
EDA-0687,Wales,Customer Support,Coordinator,0-2 years,Blended,56.8,402.0,4,3,76.4,28.0,83.9,3.9,14.1,1
EDA-0688,South East,Operations,Analyst,0-2 years,Instructor-led,40.9,349.0,5,1,100.0,7.0,88.3,5.0,8.8,1
EDA-0689,Yorkshire,Finance,Developer,0-2 years,Blended,61.4,413.0,3,1,89.3,14.0,93.8,5.0,12.0,1
EDA-0690,North West,Product,Analyst,10+ years,Self-paced,73.2,302.0,4,0,89.8,13.0,97.0,5.0,11.3,1
EDA-0691,Wales,Sales,Developer,0-2 years,Instructor-led,62.0,487.0,3,0,52.5,15.0,82.7,5.0,4.5,0
EDA-0692,Yorkshire,Sales,Manager,6-10 years,Self-paced,59.4,405.0,1,4,55.5,30.0,63.1,4.1,6.3,0
EDA-0693,West Midlands,Customer Support,Administrator,3-5 years,Instructor-led,55.8,357.0,2,0,69.5,14.0,80.3,4.4,15.7,1
EDA-0694,Wales,Product,Coordinator,10+ years,Self-paced,70.3,388.0,2,1,67.0,24.0,95.5,4.0,12.4,1
EDA-0695,Wales,Operations,Developer,6-10 years,Instructor-led,71.2,537.0,3,0,63.7,18.0,86.8,4.4,9.6,1
EDA-0696,London,Finance,Coordinator,3-5 years,Blended,84.3,481.0,3,0,89.3,17.0,94.4,4.5,14.5,1
EDA-0697,Wales,Product,Manager,6-10 years,Instructor-led,66.4,438.0,3,1,73.8,19.0,100.0,4.2,11.4,1
EDA-0698,North West,Operations,Administrator,6-10 years,Blended,49.3,440.0,4,0,89.2,30.0,83.4,5.0,10.8,1
EDA-0699,Yorkshire,Customer Support,Coordinator,3-5 years,Instructor-led,36.6,332.0,3,2,87.8,8.0,81.7,5.0,8.5,1
EDA-0700,West Midlands,Product,Analyst,6-10 years,Blended,31.3,394.0,3,0,76.6,21.0,74.0,3.5,14.1,1
EDA-0701,Wales,Sales,Analyst,0-2 years,Blended,68.7,430.0,5,0,100.0,7.0,98.8,5.0,15.1,1
EDA-0702,London,Customer Support,Manager,3-5 years,Instructor-led,30.9,304.0,3,0,81.6,25.0,77.2,3.7,10.9,1
EDA-0703,West Midlands,Customer Support,Analyst,10+ years,Instructor-led,51.3,353.0,3,3,70.1,20.0,77.1,4.4,11.8,1
EDA-0704,West Midlands,Sales,Coordinator,10+ years,Instructor-led,80.8,322.0,3,1,84.1,21.0,100.0,4.2,13.3,1
EDA-0705,Yorkshire,Product,Administrator,10+ years,Self-paced,62.5,392.0,5,1,98.1,25.0,100.0,5.0,15.5,1
EDA-0706,Wales,Customer Support,Advisor,0-2 years,Blended,50.4,228.0,5,0,92.1,6.0,80.0,5.0,4.6,0
EDA-0707,London,Product,Developer,0-2 years,Blended,57.1,425.0,4,1,85.7,17.0,94.9,5.0,12.5,1
EDA-0708,Yorkshire,IT,Manager,0-2 years,Instructor-led,50.3,429.0,3,1,82.2,17.0,83.5,4.3,12.5,1
EDA-0709,South East,Operations,Administrator,3-5 years,Blended,62.3,295.0,2,2,90.3,21.0,94.3,3.9,9.5,1
EDA-0710,London,Sales,Analyst,10+ years,Self-paced,60.7,305.0,3,0,71.4,18.0,86.9,4.7,11.2,1
EDA-0711,Yorkshire,Product,Manager,3-5 years,Instructor-led,5.0,269.0,2,3,70.8,24.0,69.5,4.4,9.7,0
EDA-0712,Yorkshire,Operations,Coordinator,6-10 years,Self-paced,26.4,111.0,3,1,85.4,25.0,79.1,5.0,9.2,1
EDA-0713,London,HR,Advisor,0-2 years,Instructor-led,88.6,392.0,4,0,65.5,18.0,78.3,4.9,3.5,0
EDA-0714,West Midlands,Finance,Advisor,6-10 years,Blended,51.5,403.0,2,0,78.5,19.0,80.9,4.0,13.7,1
EDA-0715,West Midlands,Sales,Developer,3-5 years,Blended,47.8,372.0,3,1,86.3,14.0,73.1,4.4,11.4,1
EDA-0716,London,IT,Coordinator,3-5 years,Blended,36.3,473.0,3,0,68.3,7.0,69.5,4.3,12.0,1
EDA-0717,West Midlands,Sales,Manager,3-5 years,Self-paced,65.1,355.0,2,1,76.7,35.0,88.3,4.7,8.8,1
EDA-0718,Yorkshire,Product,Administrator,0-2 years,Blended,80.5,420.0,5,0,100.0,24.0,100.0,5.0,4.3,0
EDA-0719,Scotland,Customer Support,Analyst,10+ years,Self-paced,36.1,395.0,1,1,57.8,18.0,64.4,4.0,10.4,1
EDA-0720,Yorkshire,IT,Advisor,0-2 years,Self-paced,36.0,274.0,5,0,80.7,11.0,80.9,5.0,14.5,1
